fulltime,fam_inc,parttime,sex,race,lsat,ugpa,zfygpa,DOB_yr,zgpa,tier,index6040,pass_bar
1.0,5.0,0.0,male,white,44.0,3.5,0.64,69.0,0.22,6.0,886.842082,P
1.0,4.0,0.0,male,white,32.0,3.5,-0.47,69.0,-0.66,2.0,697.3684059999999,P
1.0,3.0,0.0,female,white,35.0,3.5,1.0,68.0,1.55,2.0,744.736825,P
1.0,2.0,0.0,male,asian,39.5,3.5,-0.09,69.0,0.0,6.0,815.7894535,P
1.0,3.0,0.0,female,white,42.0,3.5,0.53,69.0,0.54,6.0,855.2631359999999,P
1.0,4.0,0.0,female,hisp,33.0,3.5,-0.14,69.0,-0.66,4.0,713.157879,P
1.0,1.0,0.0,female,white,26.0,3.5,-0.24,68.0,-0.36,4.0,602.631568,F
1.0,4.0,0.0,female,white,39.0,3.5,-1.11,49.0,-0.92,4.0,807.894717,P
1.0,4.0,0.0,female,white,35.5,3.5,1.61,69.0,1.36,5.0,752.6315615,P
1.0,3.0,0.0,male,white,33.0,3.5,0.66,68.0,0.14,4.0,713.157879,P
1.0,4.0,0.0,male,white,41.0,3.5,-0.23,68.0,0.0,6.0,839.4736630000001,P
1.0,4.0,0.0,female,white,42.0,3.5,2.07,66.0,2.5,2.0,855.2631359999999,P
1.0,2.0,0.0,female,white,45.0,3.5,0.0,65.0,0.0,6.0,902.631555,P
1.0,2.0,0.0,male,black,32.0,3.5,0.59,70.0,0.58,1.0,697.3684059999999,P
1.0,4.0,0.0,male,white,38.0,3.5,-0.11,67.0,0.06,3.0,792.1052440000001,P
1.0,4.0,0.0,female,white,42.0,3.5,-0.84,67.0,-0.28,3.0,855.2631359999999,P
1.0,4.0,0.0,male,white,40.0,3.5,1.22,66.0,1.52,1.0,823.6841900000001,P
1.0,3.0,0.0,female,white,28.0,3.5,0.66,69.0,-0.41,5.0,634.210514,P
1.0,2.0,0.0,male,white,42.0,3.5,0.81,59.0,0.55,4.0,855.2631359999999,P
1.0,4.0,0.0,male,white,45.0,3.5,-0.73,52.0,-0.83,6.0,902.631555,P
1.0,4.0,0.0,female,white,35.0,3.5,-0.12,69.0,-0.54,3.0,744.736825,P
1.0,4.0,0.0,male,white,39.0,3.5,-0.08,67.0,-0.3,4.0,807.894717,P
2.0,2.0,1.0,male,white,39.0,3.5,0.52,59.0,0.86,5.0,807.894717,P
1.0,4.0,0.0,male,white,38.0,3.5,0.0,68.0,0.0,6.0,792.1052440000001,P
1.0,3.0,0.0,female,white,39.0,3.5,-0.44,69.0,-0.44,5.0,807.894717,P
1.0,3.0,0.0,female,white,39.0,3.5,0.31,68.0,0.54,5.0,807.894717,P
1.0,3.0,0.0,male,white,39.0,3.5,-0.39,51.0,-1.31,4.0,807.894717,F
1.0,5.0,0.0,male,white,46.0,3.5,-1.33,66.0,-0.67,6.0,918.421028,P
1.0,3.0,0.0,female,white,45.0,3.5,0.0,69.0,0.07,3.0,902.631555,P
1.0,4.0,0.0,female,asian,41.0,3.5,-1.1,69.0,-1.61,5.0,839.4736630000001,F
1.0,3.0,0.0,male,white,32.0,3.5,-0.58,61.0,-0.2,2.0,697.3684059999999,P
1.0,4.0,0.0,female,white,37.0,3.5,1.36,69.0,1.38,4.0,776.315771,P
1.0,3.0,0.0,male,white,29.0,3.5,0.94,67.0,0.38,3.0,649.999987,P
1.0,3.0,0.0,male,white,40.0,3.5,1.49,68.0,1.57,3.0,823.6841900000001,P
1.0,5.0,0.0,female,white,41.0,3.5,-1.64,69.0,-1.44,4.0,839.4736630000001,P
1.0,4.0,0.0,male,white,44.0,3.5,1.37,68.0,1.4,6.0,886.842082,P
1.0,0.0,0.0,male,0,45.0,3.5,0.72,70.0,0.95,4.0,902.631555,P
1.0,4.0,0.0,male,white,36.0,3.5,0.22,69.0,-0.36,4.0,760.526298,P
1.0,3.0,0.0,male,white,31.0,3.5,1.35,66.0,1.81,3.0,681.578933,P
1.0,3.0,0.0,male,white,40.0,3.5,-0.28,70.0,0.14,5.0,823.6841900000001,P
1.0,4.0,0.0,female,white,36.0,3.5,0.34,69.0,0.22,3.0,760.526298,P
1.0,3.0,0.0,male,white,41.0,3.5,-0.17,51.0,0.65,4.0,839.4736630000001,P
1.0,4.0,0.0,female,white,33.0,3.5,0.54,69.0,0.87,3.0,713.157879,P
1.0,3.0,0.0,female,white,32.0,3.5,-0.07,68.0,-0.34,3.0,697.3684059999999,P
1.0,4.0,0.0,male,white,44.0,3.5,0.49,67.0,0.98,5.0,886.842082,P
1.0,4.0,0.0,female,white,42.0,3.5,-0.02,68.0,0.44,5.0,855.2631359999999,P
1.0,3.0,0.0,female,white,39.0,3.5,1.24,69.0,0.59,3.0,807.894717,P
1.0,4.0,0.0,female,white,48.0,3.5,-0.19,68.0,-0.09,4.0,949.9999740000001,P
1.0,4.0,0.0,male,white,42.0,3.5,1.07,69.0,0.37,4.0,855.2631359999999,P
1.0,4.0,0.0,male,white,38.0,3.5,0.56,69.0,0.55,4.0,792.1052440000001,P
1.0,4.0,0.0,female,white,39.0,3.5,0.86,60.0,0.99,6.0,807.894717,P
1.0,4.0,0.0,male,white,42.0,3.5,1.78,65.0,2.14,6.0,855.2631359999999,P
1.0,4.0,0.0,female,asian,46.0,3.5,-0.12,67.0,-0.45,6.0,918.421028,P
1.0,4.0,0.0,male,white,41.0,3.5,0.4,61.0,0.28,5.0,839.4736630000001,P
1.0,3.0,0.0,male,white,39.0,3.5,1.08,65.0,0.64,4.0,807.894717,P
1.0,4.0,0.0,female,white,32.0,3.5,1.12,68.0,0.72,3.0,697.3684059999999,P
1.0,4.0,0.0,male,white,42.0,3.5,-1.12,69.0,0.0,6.0,855.2631359999999,P
1.0,3.0,0.0,female,white,40.0,3.5,-0.63,64.0,-0.45,5.0,823.6841900000001,P
1.0,4.0,0.0,male,white,40.5,3.5,0.58,68.0,0.72,5.0,831.5789265,P
1.0,3.0,0.0,male,white,41.0,3.5,0.25,68.0,-0.57,4.0,839.4736630000001,P
1.0,4.0,0.0,male,white,38.0,3.5,0.38,69.0,-0.3,3.0,792.1052440000001,P
1.0,3.0,0.0,female,white,33.0,3.5,-0.13,57.0,-0.01,3.0,713.157879,P
1.0,3.0,0.0,female,white,37.0,3.5,0.06,65.0,-0.02,4.0,776.315771,P
1.0,3.0,0.0,female,white,39.5,3.5,0.37,68.0,-0.65,3.0,815.7894535,P
1.0,2.0,0.0,female,white,39.0,3.5,-0.24,56.0,0.22,4.0,807.894717,P
1.0,4.0,0.0,male,white,33.0,3.5,-0.55,69.0,-1.17,3.0,713.157879,P
1.0,3.0,0.0,male,white,35.5,3.5,-0.29,69.0,-0.68,3.0,752.6315615,P
1.0,3.0,0.0,female,white,32.0,3.5,1.38,67.0,1.42,3.0,697.3684059999999,P
1.0,4.0,0.0,female,white,41.0,3.5,1.44,69.0,1.83,4.0,839.4736630000001,P
1.0,2.0,0.0,female,white,34.0,3.5,-1.12,50.0,-1.14,3.0,728.9473519999999,P
1.0,3.0,0.0,female,white,36.0,3.5,0.0,68.0,0.2,3.0,760.526298,P
1.0,4.0,0.0,female,white,41.0,3.5,-0.29,68.0,-0.37,4.0,839.4736630000001,P
1.0,2.0,0.0,male,white,34.0,3.5,0.35,67.0,0.76,5.0,728.9473519999999,P
1.0,3.0,0.0,female,white,31.0,3.5,0.22,51.0,0.27,3.0,681.578933,P
1.0,3.0,0.0,female,white,47.0,3.5,-1.49,66.0,-1.03,6.0,934.210501,P
1.0,3.0,0.0,female,white,37.0,3.5,0.45,56.0,1.14,5.0,776.315771,P
1.0,3.0,0.0,male,white,31.0,3.5,-1.06,69.0,-1.48,5.0,681.578933,P
1.0,5.0,0.0,male,white,48.0,3.5,2.08,68.0,1.45,4.0,949.9999740000001,P
1.0,3.0,0.0,male,white,47.0,3.5,-0.62,62.0,-0.1,4.0,934.210501,P
1.0,3.0,0.0,male,white,42.0,3.5,0.51,69.0,0.93,2.0,855.2631359999999,P
2.0,3.0,1.0,female,white,35.5,3.5,1.74,57.0,0.0,5.0,752.6315615,P
1.0,3.0,0.0,female,asian,34.0,3.5,0.64,61.0,0.95,4.0,728.9473519999999,P
1.0,3.0,0.0,female,white,34.0,3.5,2.56,66.0,2.18,3.0,728.9473519999999,P
1.0,4.0,0.0,male,white,46.0,3.5,0.47,69.0,0.06,5.0,918.421028,P
1.0,3.0,0.0,female,white,31.0,3.5,-1.54,54.0,-1.86,4.0,681.578933,F
1.0,4.0,0.0,female,white,36.0,3.5,-0.98,58.0,-1.12,3.0,760.526298,P
1.0,4.0,0.0,male,white,46.0,3.5,-0.17,69.0,0.39,6.0,918.421028,P
2.0,4.0,1.0,male,white,43.0,3.5,1.67,63.0,1.65,3.0,871.052609,P
1.0,4.0,0.0,female,white,46.0,3.5,0.81,65.0,1.25,5.0,918.421028,P
1.0,4.0,0.0,female,black,22.0,3.5,-0.37,71.0,-0.48,3.0,539.473676,F
1.0,4.0,0.0,male,white,48.0,3.5,0.58,68.0,0.3,6.0,949.9999740000001,P
1.0,3.0,0.0,male,white,38.0,3.5,0.86,69.0,0.4,4.0,792.1052440000001,P
2.0,3.0,1.0,male,white,33.0,3.5,-0.88,67.0,0.36,4.0,713.157879,P
1.0,3.0,0.0,female,white,42.0,3.5,-0.31,67.0,0.08,4.0,855.2631359999999,P
1.0,3.0,0.0,female,asian,38.0,3.5,-0.6,66.0,-0.75,4.0,792.1052440000001,P
1.0,4.0,0.0,male,white,38.0,3.5,-0.06,69.0,0.31,5.0,792.1052440000001,P
1.0,3.0,0.0,female,white,42.0,3.5,0.0,69.0,0.0,4.0,855.2631359999999,P
1.0,4.0,0.0,male,white,29.0,3.5,0.85,69.0,0.84,2.0,649.999987,P
1.0,2.0,0.0,female,white,41.0,3.5,0.0,69.0,0.0,6.0,839.4736630000001,P
1.0,5.0,0.0,male,white,42.0,3.5,-0.52,68.0,-1.36,6.0,855.2631359999999,P
1.0,3.0,0.0,female,white,36.0,3.5,0.22,70.0,0.61,3.0,760.526298,P
1.0,3.0,0.0,female,white,37.0,3.5,0.87,69.0,0.81,4.0,776.315771,P
1.0,3.0,0.0,male,asian,38.0,3.5,0.89,63.0,0.77,5.0,792.1052440000001,P
1.0,1.0,0.0,female,white,43.0,3.5,-0.35,66.0,-0.31,4.0,871.052609,P
2.0,4.0,1.0,female,white,37.0,3.5,1.34,52.0,0.8,3.0,776.315771,P
1.0,4.0,0.0,male,white,38.0,3.5,-0.13,60.0,0.72,4.0,792.1052440000001,P
1.0,5.0,0.0,female,white,30.0,3.5,-1.75,69.0,-2.22,3.0,665.78946,P
1.0,3.0,0.0,female,white,39.0,3.5,1.83,53.0,1.69,4.0,807.894717,P
1.0,4.0,0.0,male,white,42.0,3.5,-0.27,68.0,0.18,3.0,855.2631359999999,P
1.0,3.0,0.0,male,white,36.0,3.5,-0.87,58.0,-1.34,4.0,760.526298,F
1.0,3.0,0.0,female,white,30.5,3.5,0.73,69.0,0.46,2.0,673.6841965,P
2.0,4.0,1.0,female,white,36.0,3.5,-1.45,67.0,-0.93,3.0,760.526298,F
1.0,5.0,0.0,male,white,29.0,3.5,-0.71,68.0,-1.23,3.0,649.999987,F
1.0,5.0,0.0,male,white,43.0,3.5,0.28,65.0,0.71,3.0,871.052609,P
1.0,4.0,0.0,male,white,48.0,3.5,0.71,68.0,0.51,6.0,949.9999740000001,P
1.0,4.0,0.0,male,white,35.5,3.5,0.65,69.0,1.56,3.0,752.6315615,P
1.0,3.0,0.0,female,white,40.0,3.5,0.8,69.0,-0.03,5.0,823.6841900000001,P
2.0,1.0,1.0,female,white,38.0,3.5,2.54,66.0,2.64,5.0,792.1052440000001,P
1.0,5.0,0.0,female,asian,33.0,3.5,0.01,61.0,0.45,3.0,713.157879,P
1.0,4.0,0.0,male,white,37.0,3.5,0.2,69.0,0.28,4.0,776.315771,P
1.0,4.0,0.0,male,white,38.0,3.5,0.84,69.0,0.61,3.0,792.1052440000001,P
1.0,5.0,0.0,female,white,39.0,3.5,0.86,69.0,0.86,6.0,807.894717,P
1.0,4.0,0.0,female,white,40.0,3.5,1.13,68.0,1.49,3.0,823.6841900000001,P
1.0,3.0,0.0,male,white,43.5,3.5,1.84,64.0,1.05,6.0,878.9473455,P
1.0,4.0,0.0,female,white,37.0,3.5,-0.11,69.0,0.55,4.0,776.315771,P
1.0,4.0,0.0,male,white,40.0,3.5,-1.57,68.0,-1.83,5.0,823.6841900000001,P
1.0,4.0,0.0,female,white,41.0,3.5,-0.48,68.0,0.24,3.0,839.4736630000001,P
1.0,4.0,0.0,male,white,39.0,3.5,2.36,69.0,0.0,6.0,807.894717,P
1.0,3.0,0.0,male,white,39.0,3.5,2.3,63.0,0.23,6.0,807.894717,P
1.0,4.0,0.0,male,white,30.5,3.5,-0.5,69.0,0.24,4.0,673.6841965,P
1.0,4.0,0.0,male,white,38.0,3.5,-0.91,65.0,0.0,6.0,792.1052440000001,P
1.0,3.0,0.0,female,white,34.0,3.5,-0.3,68.0,-0.18,3.0,728.9473519999999,P
1.0,4.0,0.0,male,white,36.0,3.5,0.9,67.0,0.42,3.0,760.526298,P
1.0,3.0,0.0,female,white,46.0,3.5,0.59,66.0,0.76,5.0,918.421028,P
1.0,3.0,0.0,female,white,37.0,3.5,-0.58,68.0,-0.6,4.0,776.315771,F
1.0,3.0,0.0,female,white,44.0,3.5,-0.73,66.0,-0.85,3.0,886.842082,P
1.0,1.0,0.0,female,white,43.0,3.5,-0.83,51.0,0.18,5.0,871.052609,P
1.0,3.0,0.0,male,hisp,32.0,3.5,-0.51,64.0,-1.33,3.0,697.3684059999999,F
1.0,4.0,0.0,female,white,42.0,3.5,0.48,68.0,1.07,6.0,855.2631359999999,P
1.0,3.0,0.0,female,white,35.5,3.5,-0.13,66.0,-0.77,3.0,752.6315615,P
1.0,4.0,0.0,female,white,34.0,3.5,1.55,69.0,1.91,3.0,728.9473519999999,P
1.0,4.0,0.0,male,white,39.0,3.5,1.44,68.0,1.06,4.0,807.894717,P
1.0,3.0,0.0,male,white,43.0,3.5,0.63,67.0,0.0,6.0,871.052609,P
1.0,3.0,0.0,female,white,40.0,3.5,0.0,66.0,0.0,4.0,823.6841900000001,P
1.0,4.0,0.0,female,white,44.0,3.5,-0.18,68.0,-0.56,5.0,886.842082,P
2.0,4.0,1.0,female,white,35.0,3.5,0.46,69.0,-0.31,3.0,744.736825,P
1.0,4.0,0.0,female,white,37.0,3.5,-0.73,59.0,-0.44,4.0,776.315771,P
1.0,3.0,0.0,female,white,33.0,3.5,0.88,69.0,0.88,5.0,713.157879,P
1.0,3.0,0.0,male,white,35.0,3.5,0.17,69.0,0.46,3.0,744.736825,P
1.0,5.0,0.0,male,white,38.0,3.5,-0.27,68.0,-0.06,5.0,792.1052440000001,P
1.0,2.0,0.0,female,white,37.0,3.5,-1.03,61.0,-1.24,3.0,776.315771,P
1.0,4.0,0.0,female,white,40.0,3.5,-0.14,67.0,0.66,5.0,823.6841900000001,P
1.0,3.0,0.0,male,white,33.0,3.5,-0.24,59.0,-0.68,3.0,713.157879,P
1.0,4.0,0.0,male,white,38.5,3.5,0.69,68.0,-0.21,3.0,799.9999805,P
1.0,4.0,0.0,female,white,33.0,3.5,-0.12,66.0,-0.24,4.0,713.157879,P
1.0,4.0,0.0,male,white,45.0,3.5,-1.7,68.0,-1.38,5.0,902.631555,P
1.0,0.0,0.0,female,white,48.0,3.5,0.5,69.0,0.82,6.0,949.9999740000001,P
1.0,3.0,0.0,male,white,30.0,3.5,-1.08,66.0,-1.22,6.0,665.78946,P
1.0,2.0,0.0,female,white,31.0,3.5,0.59,57.0,0.44,4.0,681.578933,P
1.0,2.0,0.0,female,white,40.0,3.5,2.34,68.0,2.05,4.0,823.6841900000001,P
1.0,5.0,0.0,male,other,44.0,3.5,0.46,69.0,-0.06,4.0,886.842082,P
1.0,2.0,0.0,male,white,28.0,3.5,0.35,63.0,0.47,3.0,634.210514,P
1.0,4.0,0.0,female,white,37.0,3.5,0.01,69.0,0.1,4.0,776.315771,P
1.0,5.0,0.0,male,white,34.0,3.5,-0.66,66.0,-1.19,3.0,728.9473519999999,P
1.0,4.0,0.0,female,hisp,28.0,3.5,-0.81,67.0,-0.37,3.0,634.210514,F
1.0,4.0,0.0,male,white,38.0,3.5,-0.21,67.0,-0.26,4.0,792.1052440000001,P
1.0,2.0,0.0,male,white,36.3,3.5,-0.56,68.0,-0.79,4.0,765.2631399,F
1.0,4.0,0.0,male,white,46.0,3.5,-0.78,68.0,-0.7,6.0,918.421028,F
1.0,4.0,0.0,male,white,38.0,3.5,0.23,64.0,0.4,5.0,792.1052440000001,P
1.0,0.0,0.0,female,white,33.0,3.5,1.52,67.0,1.03,5.0,713.157879,P
